,Unnamed: 0,Reference,Year,Compartment,Sample size,Country,Continent,Additive,Additive Abbrev,CAS Number,Additive function,Chemical class,Taxon,Species name,Biota Tissue,Stats,Concentration orig,Units,Polymer Composition,Factor conversion,Concentration in ug/g (ug/L for liquid),Concentration(ug/g),Common Additives,ConcentrationLog,Polymer Types,Polymers Number,Key Polymer,Bioacumulation factor
28,29,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,1.96,mg/kg,"mix of PS, PUR, PEVA possible",1.0,1.96,1.96,,0.6729444732424258,,,,
29,30,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,2.55,mg/kg,unknown,1.0,2.55,2.55,,0.9360933591703348,,,,
30,31,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,3.6,mg/kg,"mix of PE, PP, PET, PS, PUR, PEVA possible",1.0,3.6,3.6,,1.280933845462064,,,,
31,32,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,1.26,mg/kg,"mix of PE, PP, PET possible",1.0,1.26,1.26,,0.2311117209633866,,,,
32,33,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,5.78,mg/kg,"mix of PS, PUR, PEVA possible",1.0,5.78,5.78,,1.754403682684286,,,,
33,34,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,1.15,mg/kg,unknown,1.0,1.15,1.15,,0.1397619423751586,,,,
34,35,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,3.47,mg/kg,"mix of PE, PP, PET, PS, PUR, PEVA possible",1.0,3.47,3.47,,1.244154593958768,,,,
35,36,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,1.62,mg/kg,"mix of PE, PP, PET possible",1.0,1.62,1.62,,0.4824261492442928,,,,
36,37,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,1.76,mg/kg,unknown,1.0,1.76,1.76,,0.5653138090500605,,,,
37,38,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,2.53,mg/kg,"mix of PS, PUR, PEVA possible",1.0,2.53,2.53,,0.9282193027394288,,,,
38,39,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,3.41,mg/kg,"mix of PE, PP, PET, PS, PUR, PEVA possible",1.0,3.41,3.41,,1.226712291295425,,,,
39,40,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,4.34,mg/kg,"mix of PE, PP, PET possible",1.0,4.34,4.34,,1.467874348112314,,,,
40,41,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,2.84,mg/kg,"mix of PS, PUR, PEVA possible",1.0,2.84,2.84,,1.043804052173115,,,,
41,42,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,1.69,mg/kg,unknown,1.0,1.69,1.69,,0.5247285289349821,,,,
42,43,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,2.5,mg/kg,"mix of PE, PP, PET, PS, PUR, PEVA possible",1.0,2.5,2.5,,0.9162907318741551,,,,
43,44,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,1.26,mg/kg,"mix of PE, PP, PET possible",1.0,1.26,1.26,,0.2311117209633866,,,,
44,45,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,1.85,mg/kg,"mix of PS, PUR, PEVA possible",1.0,1.85,1.85,,0.6151856390902335,,,,
45,46,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,1.04,mg/kg,unknown,1.0,1.04,1.04,,0.03922071315328133,,,,
46,47,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,3.72,mg/kg,"mix of PE, PP, PET, PS, PUR, PEVA possible",1.0,3.72,3.72,,1.313723668285055,,,,
47,48,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,1.72,mg/kg,"mix of PE, PP, PET possible",1.0,1.72,1.72,,0.5423242908253617,,,,
48,49,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,2.79,mg/kg,"mix of PS, PUR, PEVA possible",1.0,2.79,2.79,,1.026041595833274,,,,
49,50,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,2.4,mg/kg,"mix of PE, PP, PET, PS, PUR, PEVA possible",1.0,2.4,2.4,,0.8754687373538999,,,,
50,51,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,1.32,mg/kg,"mix of PE, PP, PET possible",1.0,1.32,1.32,,0.2776317365982796,,,,
51,52,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,2.91,mg/kg,"mix of PS, PUR, PEVA possible",1.0,2.91,2.91,,1.068153081183401,,,,
52,53,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,1.37,mg/kg,"mix of PE, PP, PET, PS, PUR, PEVA possible",1.0,1.37,1.37,,0.3148107398400336,,,,
53,54,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,1.11,mg/kg,"mix of PE, PP, PET, PS, PUR, PEVA possible",1.0,1.11,1.11,,0.1043600153242429,,,,
54,55,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,1.06,mg/kg,"mix of PE, PP, PET possible",1.0,1.06,1.06,,0.05826890812397582,,,,
55,56,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,0.84,mg/kg,unknown,1.0,0.84,0.84,,-0.1743533871447778,,,,
56,57,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,1.24,mg/kg,"mix of PS, PUR, PEVA possible",1.0,1.24,1.24,,0.2151113796169455,,,,
57,58,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,1.55,mg/kg,"mix of PE, PP, PET possible",1.0,1.55,1.55,,0.4382549309311553,,,,
58,59,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,1.16,mg/kg,unknown,1.0,1.16,1.16,,0.1484200051182732,,,,
59,60,Fred-Ahmadu et al 2022,2018-2019,Plastic,Not Reported,Nigeria,Africa,Potassium,K,7440-09-07 00:00:00,,Inorganic/Elemental,,,,mean,1.22,mg/kg,"mix of PS, PUR, PEVA possible",1.0,1.22,1.22,,0.1988508587451652,,,,
60,61,Tian et al 2020,2015-2016,Sediment,10,Daebu Island,Asia,"trans-1,2-diphenylcyclobutane",SD-4,,Monomer/Oligomer,Styrene Analogues,,,,mean,0.25,ng/g dm,,1000.0,0.00025,0.00025,,-8.294049640102028,,,,
61,62,Molins-Delgado et al 2018,2009-2010,Biota,11,Brazil,South America,ethylhexyl dimethyl p-aminobenzoic acid,ODPABA,,Not Additive,"UV stabilizer, other",Fish,lebranche mullet,liver,mean,24.3,ng/g dw,,1000.0,0.0243,0.0243,,-3.717278928635634,,,,
62,63,Molins-Delgado et al 2018,2009-2010,Biota,11,Brazil,South America,ethylhexyl dimethyl p-aminobenzoic acid,ODPABA,,Not Additive,"UV stabilizer, other",Fish,lebranche mullet,muscle,mean,33.3,ng/g dw,,1000.0,0.0333,0.0333,,-3.402197881995739,,,,
63,64,Molins-Delgado et al 2018,2009-2010,Biota,11,Brazil,South America,ethylhexyl dimethyl p-aminobenzoic acid,ODPABA,,Not Additive,"UV stabilizer, other",Fish,lebranche mullet,gills,mean,7.27,ng/g dw,,1000.0,0.00727,0.00727,,-4.923998987436709,,,,
64,65,Zhen et al 2016,2010,Sediment,54,China,Asia,hexabromobenzene,HBB,,Flame retardant,BFR,,,,mean,16.2,pg/g dm,,1000000.0,1.62e-05,1.62e-05,,-11.03049931572594,,,,
65,66,Garcia-Garin et al 2020,2009-2013,Biota,10,Iceland,Europe,4-isopropylphenyl diphenyl phosphate,4IPPDPP,,Flame retardant,Organophosphate-Based,Plankton,Krill,whole,mean,1.42,ng/g ww,,1000.0,0.00142,0.00142,,-6.557098407368968,,,,
66,67,Garcia-Garin et al 2020,2015,Biota,20,Iceland,Europe,4-isopropylphenyl diphenyl phosphate,4IPPDPP,,Flame retardant,Organophosphate-Based,Marine Mammal,Fin Whale,muscle,mean,0.83,ng/g ww,,1000.0,0.00083,0.00083,,-7.09408485717363,,,,
67,68,Zhang et al 2022,2019,Seawater,124,China,Asia,tri(4-tert-butylphenyl) phosphate,TBPP,,Flame Retardant,Organophosphate-Based,,,,mean,6.04,ng/L,,1000.0,0.00604,0.00604,,-5.109351267035414,,,,
68,69,Mizukawa et al 2009,2005,Sediment,1,Japan,Asia,PBDE 3,,101-55-3,Flame retardant,BFR,,,,mean,13.2,pg/g dw,,1000000.0,1.32e-05,1.32e-05,,-11.23529372837195,,,,
69,70,Lee et al 2020,2016,Sediment,50,Korea,Asia,bis-(2-ethylhexyl) adipate,DEHA,103-23-1,Plasticizer,"Plasticizer, other",,,,mean,2.57,ng/g dw,,1000.0,0.00257,0.00257,,-5.963849380075009,,,,
70,71,Kim et al 2020,2013,Sediment,40,Korea,Asia,bis-(2-ethylhexyl) adipate,DEHA,103-23-1,Plasticizer,"Plasticizer, other",,,,mean,1.47,ng/g dw,,1000.0,0.00147,0.00147,,-6.522492878191493,,,,
71,72,Kim et al 2021,2014,Sediment,27,Korea,Asia,bis-(2-ethylhexyl) adipate,DEHA,103-23-1,Plasticizer,"Plasticizer, other",,,,mean,3.48,ng/g dw,,1000.0,0.00348,0.00348,,-5.660722985195754,,,,
72,73,Jebara et al 2021,2018-2019,Sediment,165,Tunisia,Africa,bis-(2-ethylhexyl) adipate,DEHA,103-23-1,Plasticizer,"Plasticizer, other",,,,mean,3.08,mg/kg dw,,1.0,3.08,3.08,,1.124929596985483,,,,
73,74,Saliu et al 2021,2019,Sediment,5,Spain,Europe,bis-(2-ethylhexyl) adipate,DEHA,103-23-1,Plasticizer,"Plasticizer, other",,,,mean,0.04,mg/kg dw,,1.0,0.04,0.04,,-3.218875824868201,,,,
74,75,Wang et al 2018a,2011-2016,Sediment,144,China,Asia,ocyl-gallates,OG,1034-01-01,Antioxidant,"Antioxidant, other",,,,mean,3.99,ng/g dw,,1000.0,0.00399,0.00399,,-5.523964048080365,,,,
75,76,Leon et al 2018,2015,Plastic,11,Spain,Europe,4-n-Nonylphenol,4-NP,104-40-5,Plasticizer,Alkylphenol,,,,mean,0.05,ng/g plastic,"PE, PP, PVC, PS, PA, PUR",1000.0,5e-05,5e-05,4-n-Nonylphenol,-9.903487552536127,"PE, PA, PUR, PS, PP, PVC",Many Polymers,"Contained in PE, Contained in PP, Contained in PVC",
76,77,Leon et al 2018,2015,Plastic,11,Spain,Europe,4-n-Nonylphenol,4-NP,104-40-5,Plasticizer,Alkylphenol,,,,mean,0.01,ng/g plastic,"PE, PP, PVC, PS, PA, PUR",1000.0,1e-05,1e-05,4-n-Nonylphenol,-11.51292546497023,"PE, PA, PUR, PS, PP, PVC",Many Polymers,"Contained in PE, Contained in PP, Contained in PVC",
77,78,Isobe et al 2007,1995-1998,Biota,~180,India,Asia,4-n-Nonylphenol,4-NP,104-40-5,Plasticizer,Alkylphenol,Bivalve,Green Mussels,soft tissue,mean,117.4,ng/g dw,,1000.0,0.1174,0.1174,4-n-Nonylphenol,-2.142168371588141,"PE, PA, PUR, PS, PP, PVC",Many Polymers,"Contained in PE, Contained in PP, Contained in PVC",
78,79,Isobe et al 2007,1998,Biota,~180,Indonesia,Asia,4-n-Nonylphenol,4-NP,104-40-5,Plasticizer,Alkylphenol,Bivalve,Green Mussels,soft tissue,mean,272.0,ng/g dw,,1000.0,0.272,0.272,4-n-Nonylphenol,-1.30195321268614,"PE, PA, PUR, PS, PP, PVC",Many Polymers,"Contained in PE, Contained in PP, Contained in PVC",
79,80,Isobe et al 2007,1997-1998,Biota,~360,Malaysia,Asia,4-n-Nonylphenol,4-NP,104-40-5,Plasticizer,Alkylphenol,Bivalve,Green Mussels,soft tissue,mean,309.5,ng/g dw,,1000.0,0.3095,0.3095,4-n-Nonylphenol,-1.172797186857486,"PE, PA, PUR, PS, PP, PVC",Many Polymers,"Contained in PE, Contained in PP, Contained in PVC",
80,81,Isobe et al 2007,1999,Biota,30,Singapore,Asia,4-n-Nonylphenol,4-NP,104-40-5,Plasticizer,Alkylphenol,Bivalve,Green Mussels,soft tissue,mean,605.0,ng/g dw,,1000.0,0.605,0.605,4-n-Nonylphenol,-0.5025268209512956,"PE, PA, PUR, PS, PP, PVC",Many Polymers,"Contained in PE, Contained in PP, Contained in PVC",
81,82,Gu et al 2016,2013,Biota,1,China,Asia,4-n-Nonylphenol,4-NP,104-40-5,Plasticizer,Alkylphenol,Fish,Bartail Flathead,muscle,mean,158.35,ng/g ww,,1000.0,0.15835,0.15835,4-n-Nonylphenol,-1.842947505997488,"PE, PA, PUR, PS, PP, PVC",Many Polymers,"Contained in PE, Contained in PP, Contained in PVC",
82,83,Gu et al 2016,2013,Biota,1,China,Asia,4-n-Nonylphenol,4-NP,104-40-5,Plasticizer,Alkylphenol,Fish,Bartail Flathead,muscle,mean,18.28,ng/g ww,,1000.0,0.01828,0.01828,4-n-Nonylphenol,-4.001947712956133,"PE, PA, PUR, PS, PP, PVC",Many Polymers,"Contained in PE, Contained in PP, Contained in PVC",
83,84,Gu et al 2016,2013,Biota,8,China,Asia,4-n-Nonylphenol,4-NP,104-40-5,Plasticizer,Alkylphenol,Fish,Chub Mackerel,muscle,mean,480.52,ng/g ww,,1000.0,0.48052,0.48052,4-n-Nonylphenol,-0.7328864281289627,"PE, PA, PUR, PS, PP, PVC",Many Polymers,"Contained in PE, Contained in PP, Contained in PVC",
84,86,Gu et al 2016,2013,Biota,1,China,Asia,4-n-Nonylphenol,4-NP,104-40-5,Plasticizer,Alkylphenol,Fish,Chub Mackerel,muscle,mean,136.91,ng/g ww,,1000.0,0.13691,0.13691,4-n-Nonylphenol,-1.988431503336472,"PE, PA, PUR, PS, PP, PVC",Many Polymers,"Contained in PE, Contained in PP, Contained in PVC",
85,87,Gu et al 2016,2013,Biota,1,China,Asia,4-n-Nonylphenol,4-NP,104-40-5,Plasticizer,Alkylphenol,Fish,Chub Mackerel,muscle,mean,3.32,ng/g ww,,1000.0,0.00332,0.00332,4-n-Nonylphenol,-5.70779049605374,"PE, PA, PUR, PS, PP, PVC",Many Polymers,"Contained in PE, Contained in PP, Contained in PVC",
86,88,Gu et al 2016,2013,Biota,4,China,Asia,4-n-Nonylphenol,4-NP,104-40-5,Plasticizer,Alkylphenol,Fish,Chub Mackerel,muscle,mean,449.39,ng/g ww,,1000.0,0.44939,0.44939,4-n-Nonylphenol,-0.799864171369896,"PE, PA, PUR, PS, PP, PVC",Many Polymers,"Contained in PE, Contained in PP, Contained in PVC",
87,90,Gu et al 2016,2013,Biota,2,China,Asia,4-n-Nonylphenol,4-NP,104-40-5,Plasticizer,Alkylphenol,Fish,Daggertooth Pike conger,muscle,mean,27.15,ng/g ww,,1000.0,0.02715,0.02715,4-n-Nonylphenol,-3.606378232602193,"PE, PA, PUR, PS, PP, PVC",Many Polymers,"Contained in PE, Contained in PP, Contained in PVC",
88,92,Gu et al 2016,2013,Biota,2,China,Asia,4-n-Nonylphenol,4-NP,104-40-5,Plasticizer,Alkylphenol,Fish,Flathead grey mullet,muscle,mean,260.32,ng/g ww,,1000.0,0.26032,0.26032,4-n-Nonylphenol,-1.345843635511409,"PE, PA, PUR, PS, PP, PVC",Many Polymers,"Contained in PE, Contained in PP, Contained in PVC",
89,94,Gu et al 2016,2013,Biota,1,China,Asia,4-n-Nonylphenol,4-NP,104-40-5,Plasticizer,Alkylphenol,Fish,Flathead grey mullet,muscle,mean,43.39,ng/g ww,,1000.0,0.04339,0.04339,4-n-Nonylphenol,-3.137526279171878,"PE, PA, PUR, PS, PP, PVC",Many Polymers,"Contained in PE, Contained in PP, Contained in PVC",
90,95,Gu et al 2016,2013,Biota,1,China,Asia,4-n-Nonylphenol,4-NP,104-40-5,Plasticizer,Alkylphenol,Fish,Flathead grey mullet,muscle,mean,17.02,ng/g ww,,1000.0,0.01702,0.01702,4-n-Nonylphenol,-4.073366155836909,"PE, PA, PUR, PS, PP, PVC",Many Polymers,"Contained in PE, Contained in PP, Contained in PVC",
91,96,Gu et al 2016,2013,Biota,2,China,Asia,4-n-Nonylphenol,4-NP,104-40-5,Plasticizer,Alkylphenol,Fish,Great blue spotted mudskipper,muscle,mean,692.5,ng/g ww,,1000.0,0.6925,0.6925,4-n-Nonylphenol,-0.3674470409206435,"PE, PA, PUR, PS, PP, PVC",Many Polymers,"Contained in PE, Contained in PP, Contained in PVC",
